Product Name,Original Price,Sale Price,Percentage Off,Product Category,Product Code,Rating,Link
"Premier Extra Premixed Exterior Wood Stain, Solid, Cedar, 3.78-L/1-Gallon",55.99,45.99,18.0,paint,048-5927-4,3.6,https://www.canadiantire.ca/en/pdp/premier-extra-premixed-exterior-wood-stain-solid-cedar-3-78-l-1-gallon-0485927p.html#srp
"Hamilton Beach Stack & Snap Food Processor, 8 Cups",99.99,59.99,40.0,kitchen,043-0135-8,3.8,https://www.canadiantire.ca/en/pdp/hamilton-beach-stack-snap-food-processor-8-cups-0430135p.html#srp
"RSSW Spirit Alloy Wheel, Gloss Black",186.99,149.59,20.0,tires,141-1044X,5.0,https://www.canadiantire.ca/en/pdp/rssw-spirit-alloy-wheel-gloss-black-1411044p.html#srp
"Premier Extra Angle Paint Brushes for Trim and Cutting, 4-pk",23.99,17.99,25.0,paint,049-1272-2,4.4,https://www.canadiantire.ca/en/pdp/premier-extra-angle-paint-brushes-for-trim-and-cutting-4-pk-0491272p.html#srp
Spectre 8132-L Tornado Style Red Premium Filter,47.99,38.39,20.0,light-auto-parts,041-8859-2,5.0,https://www.canadiantire.ca/en/pdp/spectre-8132-l-tornado-style-red-premium-filter-0418859p.html#srp
"MAXIMUM 50-3000 Grit Diamond Wet Polishing Pad Set for Stone, Marble, Concrete, 8-pc",109.99,54.99,50.0,tools,054-1874-6,4.2,https://www.canadiantire.ca/en/pdp/maximum-50-3000-grit-diamond-wet-polishing-pad-set-for-stone-marble-concrete-8-pc-0541874p.html#srp
"Armor All Original Car Protectant Wipes, 30-pk",11.99,10.79,10.0,car-care-accessories,039-2514-6,4.1,https://www.canadiantire.ca/en/pdp/armor-all-original-car-protectant-wipes-30-pk-0392514p.html#srp
Mastercraft 20V Lithium Ion Cordless Anti-Drip Adjustable 6-Speed Caulking Gun (Tool Only),109.99,76.99,30.0,paint,064-1169-2,4.7,https://www.canadiantire.ca/en/pdp/mastercraft-20v-lithium-ion-cordless-anti-drip-adjustable-6-speed-caulking-gun-tool-only-0641169p.html#srp
Castrol CAS9972 SFX Premium Synthetic Oil Filter,16.99,15.29,10.0,light-auto-parts,117-2717-8,4.8,https://www.canadiantire.ca/en/pdp/castrol-cas9972-sfx-premium-synthetic-oil-filter-1172717p.html#srp
"Type A Aluminum Rust-Resistant Adjustable Shelves Tension Pole Shower Caddy, with Hooks",89.99,59.99,33.0,home-decor,063-4807-8,3.6,https://www.canadiantire.ca/en/pdp/type-a-aluminum-rust-resistant-adjustable-shelves-tension-pole-shower-caddy-with-hooks-0634807p.html#srp
"Nabob 100% Columbian Medium Roast K-Cup® Coffee Pods, 546-g, 56-pk",31.99,28.99,9.0,food-drink,153-2431-8,4.6,https://www.canadiantire.ca/en/pdp/nabob-100-columbian-medium-roast-k-cup-coffee-pods-546-g-56-pk-1532431p.html#srp
"RSSW Aero Alloy Wheel/Rim, Hyper Silver",188.99,151.19,20.0,tires,141-1019X,5.0,https://www.canadiantire.ca/en/pdp/rssw-aero-alloy-wheel-rim-hyper-silver-1411019p.html#srp
"CANVAS Classic Pleated Accent Lamp, 16-in",39.99,29.99,25.0,home-decor,052-6162-4,5.0,https://www.canadiantire.ca/en/pdp/canvas-classic-pleated-accent-lamp-16-in-0526162p.html#srp
"Outbound Womens Shore Sandal with a Contoured Footbed, Black",59.99,44.99,25.0,footwear-apparel,187-3540X,4.8,https://www.canadiantire.ca/en/pdp/outbound-women-s-shore-sandal-with-a-contoured-footbed-black-1873540p.html#srp
MotoMaster OE Plus MOPH4967 Oil Filter,11.49,9.76,15.0,light-auto-parts,017-7776-4,0.0,https://www.canadiantire.ca/en/pdp/motomaster-oe-plus-moph4967-oil-filter-0177776p.html#srp
"MAXIMUM 50-ft 14/3 Outdoor Extension Cord with Grounded Outlet, Lighted End and Locking Connector, Hi-Visibility",113.99,56.99,50.0,electrical,052-8489-6,4.8,https://www.canadiantire.ca/en/pdp/maximum-50-ft-14-3-outdoor-extension-cord-with-grounded-outlet-lighted-end-and-locking-connector-hi-visibility-0528489p.html#srp
MAXIMUM 7-1/4-in 60T Carbide Tipped Fine Finish Circular Saw Blade for Wood,28.99,20.29,30.0,tools,054-2592-0,4.3,https://www.canadiantire.ca/en/pdp/maximum-7-1-4-in-60t-carbide-tipped-fine-finish-circular-saw-blade-for-wood-0542592p.html#srp
"Danze Renovate Double Handle Kitchen Faucet, Chrome",69.99,41.99,40.0,plumbing,063-9835-0,4.3,https://www.canadiantire.ca/en/pdp/danze-renovate-double-handle-kitchen-faucet-chrome-0639835p.html#srp
"Woods™ Propane 2 Mantle Night Lantern w/ Hanging Hook, 400 Lumen",60.99,45.49,25.0,camping,076-5608-6,3.3,https://www.canadiantire.ca/en/pdp/woods-propane-2-mantle-night-lantern-w-hanging-hook-400-lumen-0765608p.html#srp
type A Bath Caddy,29.99,19.99,33.0,home-decor,063-4809-4,3.3,https://www.canadiantire.ca/en/pdp/type-a-bath-caddy-0634809p.html#srp
"RSSW Velocity Alloy Wheel/Rim, Graphite",165.99,132.79,20.0,tires,141-1293X,4.5,https://www.canadiantire.ca/en/pdp/rssw-velocity-alloy-wheel-rim-graphite-1411293p.html#srp
"DEWALT DCB230-2 20V MAX Lithium-Ion Compact 3.0Ah Battery Pack with LED Fuel Gauge, 2-pk",229.99,159.99,30.0,tools,054-6718-0,4.1,https://www.canadiantire.ca/en/pdp/dewalt-dcb230-2-20v-max-lithium-ion-compact-3-0ah-battery-pack-with-led-fuel-gauge-2-pk-0546718p.html#srp
"AutoTrends Jacquard Flex Fit Seat Cover, 2-pk",69.99,41.99,40.0,car-care-accessories,032-3959-6,4.6,https://www.canadiantire.ca/en/pdp/autotrends-jacquard-flex-fit-seat-cover-2-pk-0323959p.html#srp
"Adams Polishes Rubber Mat & Liner Cleaner, 473-mL",21.99,19.79,10.0,car-care-accessories,039-3670-6,4.2,https://www.canadiantire.ca/en/pdp/adam-s-polishes-rubber-mat-liner-cleaner-473-ml-0393670p.html#srp
"Mobil ATF+4 Automatic Transmission Fluid/ATF, 1-L",15.99,14.39,10.0,auto-maintenance,028-1519-8,4.6,https://www.canadiantire.ca/en/pdp/mobil-atf-4-automatic-transmission-fluid-atf-1-l-0281519p.html#srp
K&N RF-1001E Universal Air Filter,52.99,42.39,20.0,light-auto-parts,041-9004-0,0.0,https://www.canadiantire.ca/en/pdp/k-n-rf-1001e-universal-air-filter-0419004p.html#srp
"CANVAS Rowan Warm White Fabric Shade Floor Lamp, 66-in, Brushed Nickel",134.99,99.99,26.0,home-decor,052-7834-0,3.5,https://www.canadiantire.ca/en/pdp/canvas-rowan-warm-white-fabric-shade-floor-lamp-66-in-brushed-nickel-0527834p.html#srp
"Bounce Dryer Sheets, Fresh Linen, 200-pk",10.99,9.99,9.0,home-essentials,153-0612-0,4.7,https://www.canadiantire.ca/en/pdp/bounce-dryer-sheets-fresh-linen-200-pk-1530612p.html#srp
MotoMaster OE Plus MOPH3614 Oil Filter,11.49,9.76,15.0,light-auto-parts,017-7775-6,4.7,https://www.canadiantire.ca/en/pdp/motomaster-oe-plus-moph3614-oil-filter-0177775p.html#srp
"VitaLife Sweet Potato & Duck Twists Dog Treats, 750-g",26.99,24.29,10.0,pet-care,142-2554-2,4.8,https://www.canadiantire.ca/en/pdp/vitalife-sweet-potato-duck-twists-dog-treats-750-g-1422554p.html#srp
"PWR POD 20V 5Ah Universal Batteries, 2-pk, Mid",199.99,159.99,20.0,tools,054-7572-8,4.0,https://www.canadiantire.ca/en/pdp/pwr-pod-20v-5ah-universal-batteries-2-pk-mid-0547572p.html#srp
"CANVAS Mira White Fabric Shade Table Lamp, 12-4/5-in, Brushed Nickel",32.99,22.99,30.0,home-decor,052-0994-0,4.2,https://www.canadiantire.ca/en/pdp/canvas-mira-white-fabric-shade-table-lamp-12-4-5-in-brushed-nickel-0520994p.html#srp
